s_no,station_name,state,district,address,latitude,longitude,owning_organisation
155,"Sri Siddhi Vinayaka Filling Station, Bharath Petroleum Corporation Ltd,",Telangana,Sangareddy,"Sri Siddhi Vinayaka Filling Station, Bharath Petroleum Corporation Ltd, Budhera Village, Munipally Madal, Medak Dist",17.732415,77.841239,BPCL
156,"Sri Vijaya Durga Filling Station, Bharath Petroleum Corporation Ltd",Telangana,Kamareddy,"Sri Vijaya Durga Filling Station, Bharath Petroleum Corporation Ltd, Kammajiwadi(kalvaral) Village, Sadashivnagar Mandal,",18.240522,77.816438,BPCL
157,"Sri Renuka Petrol Filling Company, Bharath Petroleum Corporation Ltd",Telangana,Medak,"Sri Renuka Petrol Filling Company, Bharath Petroleum Corporation Ltd, Kollapalle Village, Shankarpet(A) Mandal,",18.056515,77.918143,BPCL
158,Sai Siddhi Carriers Bharath Petroleum,Telangana,Ranga Reddy,"Sai Siddhi Carriers Bharath Petroleum, Bagh Hayathnagar (Auto nagar)",17.324878,78.604948,BPCL
159,Sri Gopal service Station,Telangana,Ranga Reddy,"Sri Gopal service Station, Bharath Petroleum Corp Ltd, Gaganpahad Village, Ranga Reddy",17.30006,78.419018,BPCL
160,Sri kanaka Durga Service Station,Telangana,Kamareddy,"Sri kanaka Durga Service Station, Bharath Petroleum Corp Ltd, Tekriyal Village, Nizamabad",18.3498,78.307176,BPCL
161,Parnika Filling Station,Telangana,Narayanpet,"Parnika Filling Station, Bharath Petroleum Corporation Ltd, jakler Village, Mahaboobnagar",16.562279,77.616075,BPCL
162,"Technocrats Industrial Estate, Balanagar",Telangana,Medchal Malkajgiri,"Parking Space Unit B-23, Phsase- II, Technocrats Industrial Estate, Balanagar,",17.47304,78.44468,Ms Axonify at location parking
163,"at location Plot No. 730, Road No. 36, Jubilee Hills",Telangana,Ranga Reddy,"Plot No. 730, Road No. 36, Jubilee Hills, Hyderabad – 500034",17.43805,78.39961,Ms SUN Mobility Pvt Ltd
164,"Plot No.427, Road No.9, Kakatiya Hills, Guttala Begumpet (Madhapur), Hyderabad",Telangana,Ranga Reddy,"Plot No.427, Road No.9, Kakatiya Hills, Guttala Begumpet (Madhapur), Hyderabad",17.44691,78.39826,M/s. Voltron Electric
165,"Beside Nagarjuna Cement Godown, Krishna Reddy Nagar, Mailardevpally Village, Rajendra Nagar Municipality,",Telangana,Hyderabad,"Beside Nagarjuna Cement Godown, Krishna Reddy Nagar, Mailardevpally Village, Rajendra Nagar Municipality, RR Dist.",17.315955,78.458859,M/s. Trinity Cleantech Private Limited
166,"Ambadevi & Co.,",Telangana,Hyderabad,"Kandikal, Charminar Mandal, Hydeabad Dist",17.331037,78.488587,BPCL
167,"B. Brahmaiah & Co.,",Telangana,Narayanpet,"Raichur Road, Makthal, Mahaboobnagar",16.503474,77.507381,BPCL
168,Filpoint,Telangana,Ranga Reddy,"Filpoint, Bharath Petroleum Corporation Ltd, Gaganpahad, Rajendranagar, Rangareddy",17.2909055,78.416708,BPCL
169,P. Narasimha Reddy & Sons.,Telangana,Mahabubnagar,"P. Narasimha Reddy & Sons., Bharath Petroleum Corporation Ltd, Mahabubnagar",16.736593,77.988475,BPCL
170,Ramanthapur FS,Telangana,Medchal Malkajgiri,"Ramanthapur FS, BPCL, Ramanthapur Village, Revenue Mandal Uppal, Ranga Reddy",17.398169,78.53358,BPCL
171,Ratan Filling Station,Telangana,Ranga Reddy,"Ratan Filling Station, Bharath Petroleum Corporation Ltd, Saroornagar (Old) Village, Saroornagar Mandal, Ranga",17.358607,78.531217,BPCL
172,Sri Rama Filling Station,Telangana,Narayanpet,"Sri Rama Filling Station, BPCL, Marikal Village, Dhanwada, Mahaboobnagar",16.607599,77.733938,BPCL
173,Pervez Filling Station,Telangana,Nizamabad,"Pervez Filling Station, Bharath Petroleum Corporation Limited, Perkit village, Nizamabad",18.803893,78.314331,BPCL
174,Shivam Filling Station,Telangana,Sangareddy,"Shivam Filling Station, Bharath Petroleum Corporation Limited, Kandi Village, Sangareddy, Medak",17.5814225,78.1110481,BPCL
175,Sri Venkateshwara Service Station,Telangana,Sangareddy,"Sri Venkateshwara Service Station, Bharath Petroleum Corporation Limited, Kamkole Village, Munpally, Medak Dist",17.649069,77.8065911,BPCL
176,Adithya Filling Station,Telangana,Hanumakonda,"Adithya Filling Station, Bharath Petroleum Corporation Ltd, Madikonda Village, Hanamkonda Mandal, Warangal district",17.951745,79.477162,BPCL
177,Bhavani Service Station,Telangana,Warangal,"Bhavani Service Station, Bharath Petroleum Corporation Ltd, Rayaparthi Village, Warangal District",17.722917,79.60157,BPCL
178,Nirmal Filling Station,Telangana,Khammam,"Nirmal Filling Station, Bharath Petroleum Corporation Ltd, Pallegudem Village, Khammam Rural Mandal, Khammam District",17.287291,80.107844,BPCL
179,Laxmi Shiva Filling Station,Telangana,Mahabubabad,"Laxmi Shiva Filling Station, Bharath Petroleum Corporation Ltd, Maripeda Village, Maripeda Mandal, Warangal District",17.408422,79.872921,BPCL
180,Mallikarjuna Filling Station,Telangana,Jangoan,"Mallikarjuna Filling Station, Bharath Petroleum Corporation Ltd, Ghanpur Village, Ghanpur Mandal, Warangal District",17.86427,79.378335,BPCL
181,Anjani Filling Station,Telangana,Yadadri Bhuvanagiri,"Anjani Filling Station, Bharath Petroleum Corp Ltd, Pagidipally Village, Bhongiri Mandal, Nalgonda District",17.49666,78.83991,BPCL
182,BP Chinthapally,Telangana,Nalgonda,"BP Chinthapally, Bharath Petroleum Corporation Ltd, Chintapally Village, Nalgonda District",16.823551,78.820264,BPCL
183,Devi Petro Fills,Telangana,Nalgonda,"Devi Petro Fills, Bharath Petroleum Corp Ltd, Nakrekal Village, Nakrekal Mandal, Nalgonda District",17.167756,79.403799,BPCL
184,Highway Petro Plaza,Telangana,Nalgonda,"Highway Petro Plaza, Bharath Petroleum Corp Ltd, Jangareddigudem Village, Thipparthy Mandal, Nalgonda",17.021384,79.378865,BPCL
185,Kondalreddy Fuel Service,Telangana,Yadadri Bhuvanagiri,"Kondalreddy Fuel Service, Bharath Petroleum Corporation Ltd, Lingojigudem Village, Chouppal Mandal, Nalgond",17.245477,78.92322,BPCL
186,Laxmi Saraswathi Filling Station,Telangana,Nalgonda,"Laxmi Saraswathi Filling Station, Bharath Petroleum Corporation Ltd, Narketpally Village, Nalgonda District",17.212283,79.167326,BPCL
187,Sai Chaitanya Filling Station,Telangana,Suryapet,"Sai Chaitanya Filling Station, Bharath Petroleum Corporation Ltd, Taduvaya Village, Mungala Mandal, Suryapet District",17.061069,79.819443,BPCL
188,Sai Filling Station,Telangana,Nalgonda,"Sai Filling Station, Bharath Petroleum Corporation Ltd, Narketpally Village, Narketpally Mandal, Nalgonda District",17.207689,79.186027,BPCL
189,Sai Radhe Shyam,Telangana,Nalgonda,"Sai Radhe Shyam, Bharath Petroleum Corporation Ltd, Damaracharala Village, Nalgonda District",16.724959,79.639946,BPCL
190,SLV Filling Station,Telangana,Nalgonda,"SLV Filling Station, Bharath Petroleum Corp Ltd, Godakondla Village, Chaintapalli Mandal, Nalgonda District",16.961282,78.728033,BPCL
191,Almaha Filling Station,Telangana,Nalgonda,"Almaha Filling Station, Bharath Petroleum Corporation Ltd, Peddavoora Village, Nalgonda District",16.720292,79.226232,BPCL
192,CSR Filling Station,Telangana,Yadadri Bhuvanagiri,"CSR Filling Station, Bharath Petroleum Corporation Ltd, Bhongir Mandal, Nalgonda District",17.52252,78.923414,BPCL
193,Elvee Petro Plaza,Telangana,Yadadri Bhuvanagiri,"Elvee Petro Plaza, Bharath Petroleum Corp Ltd, Toopranpet Village, Chouppal Mandal, Nalgonda District",17.292568,78.751529,BPCL
194,Sree Chakri Filling Station,Telangana,Nalgonda,"Sree Chakri Filling Station, Bharath Petroleum Corp Ltd, Itikyala Sivaru Village, Vemulapally Mandal, Nalgonda",16.92269,79.533114,BPCL
195,Santhosham Filling Station,Telangana,Yadadri Bhuvanagiri,"Santhosham Filling Station, Bharath Petroleum Corporation Limited, Raigiri Village , Bhongir Mandal, Nalgonda District",17.557486,78.961598,BPCL
196,"Survey No. 128/A/2/2/1, Near Healthy Food Court, Oblaipalle, Mahabubnagar Rural, Mahabubnagar",Telangana,Mahabubnagar,"Survey No. 128/A/2/2/1, Near Healthy Food Court, Oblaipalle, Mahabubnagar Rural, Mahabubnagar",16.67516,77.89798,Joule Point pvt Ltd
197,HPCL-Rajarajeswari F S,Telangana,Nizamabad,"HPCL-Rajarajeswari F S, HPCL Dealers, HP Petrol Pump, Survey No. 636/P9, Kamarpally Village & Mandal, Nizamabad Dist- 503 308",18.835634,78.498645,HPCL
198,HPCL-Sri Sai Kavyalatha Filling Station,Telangana,Kamareddy,"HPCL-Sri Sai Kavyalatha Filling Station, HPCL Dealer, HPCL Petrol Pump, Kammajiwadi Village, Kalwaral Panchayat,",18.448924,78.229491,HPCL
199,HPCL-Pochampad High Fuels,Telangana,Nizamabad,"HPCL-Pochampad High Fuels, HPCL Dealers, HP Petrol Pump, Survey No.324/1, Doodgaon Village, Balkonda Mandal,",18.976471,78.375707,HPCL
200,HPCL-M.J.Filling Station,Telangana,Nizamabad,"HPCL-M.J.Filling Station, HPCL Dealers, Petrol Pump, Survey No. 135/1, NH-16 Road, Morthad Village & Mandal, Nizamabad",18.830974,78.458944,HPCL
201,HPCL - Prime Fuels,Telangana,Ranga Reddy,"HPCL - Prime Fuels, Survey No.337/A&340/A Chattanpally,Chattanpally,Farooq nagar- 509216",17.09127289,78.24034245,HPCL
202,HPCL - SVR Filling Station,Telangana,Mahabubnagar,"HPCL - SVR Filling Station, Survey No.126, Macharam,Jadecherla,Mahabubna gar",16.79492564,78.14037406,HPCL
203,HPCL Adarsh FS,Telangana,Medchal Malkajgiri,"HPCL Adarsh FS, HPCL Dealer, HP Petrol Pump, Korremula Village, Gahatkesar Mandal, Medchal Malkajgiri Dist-500088.",17.427764,78.648977,HPCL
204,HPCL- Anus Filling Station,Telangana,Wanaparthy,"HPCL- Anus Filling Station, Survey No .899, Pebbair,Pebbair,Mahabubnagar",16.22388,77.968549,HPCL
205,HPCL Model FS,Telangana,Medchal Malkajgiri,"HPCL Model FS, HPCL Dealer, HP Petrol Pump, Ankushapur Village, NH-202, Ghatkesar Mandal, Medchal Malkajgiri Dist-",17.456781,78.71081,HPCL
206,HPCL Shiva Linga FS,Telangana,Medak,"HPCL Shiva Linga FS, HPCL dealer, Petrol Pump, Narsingi Village, Narsingi Mandal, Medak Dist-502248",18.0304548,78.43338,HPCL
207,HPCL- Shree Santosh Fuel Point,Telangana,Medak,"HPCL- Shree Santosh Fuel Point, Survey No.163, Masaipet Village,Yeldurthy Mandal, Medak Dist- 502 335",17.91016,78.46346,HPCL
208,HPCL-Suvarna Srinivas Petroleum,Telangana,Ranga Reddy,"HPCL-Suvarna Srinivas Petroleum, HPCL Dealer, HP Petrol Pump, Injapur Village, Abdullapurmet Mandal, Ranga",17.305472,78.589857,HPCL
209,HPCL Vyjayanti Services,Telangana,Medchal Malkajgiri,"HPCL Vyjayanti Services, HPCL Dealer, HPCL Petrol Pump, Thoomkunta Village, Shamirpet, Medchal Malkajgiri-500078",17.560971,78.545857,HPCL
210,HPCL-Madhava Madanananda Filling Station,Telangana,Sangareddy,"HPCL-Madhava Madanananda Filling StationHPCL Dealers, Petrol Pump, Huggelli Village, Zaheerabad Mandal, Zaheerabad",17.67356069,77.67142593,HPCL
211,HPCL-Manikanta Filling Station,Telangana,Sangareddy,"HPCL-Manikanta Filling Station, HPCL Dealers, HP Petrol Pump, Digwal Village, Kohir Mandal, Sangareddy Dist- 502 321",17.66694,77.69816,HPCL
212,HPCL-Mouryareddy Filling Station,Telangana,Sangareddy,"HPCL-Mouryareddy Filling Station, HPCL Dealers, HP Petrol Pump, , Rudraram Village, Patancheru Mandal, Sangareddy",17.567053,78.16,HPCL
213,HPCL-Sri Vijaya Service Station,Telangana,Ranga Reddy,"HPCL-Sri Vijaya Service Station, HPCL Dealers, HP Petrol Pump, Sy No. 35, Satamrai, Gaganpahad, Rangareddy Dist- 509 323",17.281905,78.411229,HPCL
214,HPCL-SVR Enterprises,Telangana,Ranga Reddy,"HPCL-SVR Enterprises, Survey No-358/A,358/U Chattanpally, Farooqnagar, Mahabubnagar- 509216.",17.088974,78.23905,HPCL
215,HPCL Sri Laxmi Venkateshwara Filling Center,Telangana,Mahabubnagar,"HPCL Sri Laxmi Venkateshwara Filling Center, HPCL dealer Petrol Pump, Plot No. 1&22, 2&21, Attelly Village, Medchal, Medchal",16.6919883,77.929765,HPCL
216,HPCL Sri Siva Priya Highway Station,Telangana,Ranga Reddy,"HPCL Sri Siva Priya Highway Station HPCL Dealer, HP Petrol Pump, Hayathnagar, Peddamberpet, Ranga Reddy-",17.322053,78.631279,HPCL
217,"Petroleum Class A,B Retail outlet, Chenchal guda central prison Saidabad",Telangana,Hyderabad,"Petroleum Class A,B Retail outlet at, Block No.A, Ward No. 175, Saidabad City, Chenchal guda central prison Saidabad mandal,",17.366229,78.497974,SUN Mobility Private Limited
218,"H. No. 20-4-62/G,H,I,J Panchmohalla Charminar, Hyderabad dist",Telangana,Hyderabad,"H. No. 20-4-62/G,H,I,J Panchmohalla Charminar, Hyderabad dist",17.357571,78.473723,SUN Mobility Private Limited
219,Jamai Osmania Railway Station Parking,Telangana,Hyderabad,"Jamai Osmania Railway Station Parking Premises, SBH Colony, Jamai Osmania-500036",17.412185,78.518304,M/s. Trinity Cleantech Private Limited
220,Mettuguda Railway Vehicle Parking,Telangana,Hyderabad,"Mettuguda Railway Vehicle Parking Premises, Near Metro Parking located at Krishna Devaraya Rd, New Mettuguda,",17.434668,78.520438,M/s. Trinity Cleantech Private Limited
221,Umda Nagar Railway Station parking,Telangana,Ranga Reddy,"Umda Nagar Railway Station parking Premises located at Govt.Jr. College Rd, Rudra Colony, Shamshabad-501218.",17.263081,78.393601,M/s. Trinity Cleantech Private Limited
222,Hi-Tech City Railway station parking,Telangana,Medchal Malkajgiri,"Hi-Tech City Railway station parking located at izzatnagar, Hyderabad, Kothaguda-500084",17.470903,78.384408,M/s. Trinity Cleantech Private Limited
223,FalaknumaRailway Station,Telangana,Hyderabad,"FalaknumaRailway Station, Ghulam Murtuza, Falaknuma, Hyderabad-500053",17.332936,78.475409,SUN Mobility Private Limited
224,Huppuguda Railway Station,Telangana,Hyderabad,"Huppuguda Railway Station, Huppuguda, Hyderabad-500053",17.3413323,78.4824879,SUN Mobility Private Limited
225,Dabirpura Railway Station,Telangana,Hyderabad,"Dabirpura Railway Station, Dabirpura, Hyderabad-500023",17.366453,78.49041,SUN Mobility Private Limited
226,Yakutpura Railway Station,Telangana,Hyderabad,"Yakutpura Railway Station, Rein Bazar, Yakutpura, Hyderabad- 500023",17.360254,78.492222,SUN Mobility Private Limited
227,"Karwan, Hyderabad,",Telangana,Hyderabad,"D.No: 13-6-168, Uppar Basti, Vasavi Vihar, Talla Gadda, Karwan, Hyderabad-500006.",17.377064,78.441465,Grid Edgewrks Pvt Ltd
228,"Plot No. 210,212,213 part, at Mehdijung Colony, Moulali, Medchal Malkajgiri",Telangana,Medchal Malkajgiri,"Plot No. 210,212,213 part, at Mehdijung Colony, Moulali, Medchal Malkajgiri",17.468908,78.560876,M/s. Trinity Cleantech Private Limited
229,"Sri devi kalyan Estates,",Telangana,Medchal Malkajgiri,"Plot No.100 & 101, Sri devi kalyan Estates, Yapral, Malkajgiri, Medchal Malkajgiri",17.500918,78.539461,M/s. Trinity Cleantech Private Limited
230,Vaishnavi Lamani Arcade,Telangana,Medchal Malkajgiri,"Vaishnavi Lamani Arcade, Doolapally Road, Devender Colony, Kompally-500014",17.541059,78.488722,M/s. Exponent Energy Pvt Ltd
231,Parade Metro station,Telangana,Hyderabad,"Opp Parade Grounds, Gandhi Nagar, Nehru Nagar Colony, Shivaji Nagar, Secunderabad, Telangana 500003",17.4432895,78.4952703,Hyderabad Metro
232,Bala Nagar Metro station,Telangana,Medchal Malkajgiri,"Near Balanagar Y Junction, Near Chennai Shopping Mal Hyderabad, Telangana, Telangana 500072",17.4768311,78.4199259,Hyderabad Metro
233,Keshoram Sunderlal Fuel station (BPCL),Telangana,Medchal Malkajgiri,"Plot No 3 to 5, Survey No 20 Bandlaguda, Uppal, Nagole, Hyderabad, Telangana 500068",17.372448,78.5655009,BPCL
234,Swati Enterprises (BPCL),Telangana,Ranga Reddy,"No 10, 1, Kamala Nagar, Auto Nagar, Hyderabad, Telangana 500070",17.3289167,78.5422468,BPCL
235,KMC Mall,Telangana,Hyderabad,"Nishaat Bagh Colony Road, Nishat Bagh Colony, Begumpet, Hyderabad, Telangana 500082",17.422608,78.461364,KMC Mall
236,TSIRD,Telangana,Ranga Reddy,"Rajendranagar, Hyderabad - 500 030",17.317841666666666,78.40359722222223,TGREDCO/REIL
237,NSIC,Telangana,Medchal Malkajgiri,"Near Radhika Movieplex, Electronic Complex, Kamalanagar, Kushaiguda, Hyderabad, Telangana 500062",17.477883333333335,78.5657,TGREDCO/REIL
238,IOE(TGREDCO),Telangana,Hyderabad,"Visvesvaraya Bhavan, The Institution of Engineers Building, Khairatabad, Hyderabad - 500 004",17.41235,78.45985,TGREDCO/REIL
239,RTC- UPPAL,Telangana,Medchal Malkajgiri,"Warangal Hwy, Venkateswara Colony, Sai Nagar, Peerzadiguda, Hyderabad, Telangana 500039",17.40485,78.59,TGREDCO/REIL
240,ESCI,Telangana,Ranga Reddy,"GachiBowli, Hyderabad, Telangana 500032",17.429083333333335,78.37188333333333,TGREDCO/REIL
241,TUFIDC,Telangana,Hyderabad,"3rd & 4th floor, TUFIDC & DTCP New building,Opposite PTI, Building, AC Guards, Hyderabad- 50000",17.40285,78.45866666666667,TGREDCO/REIL
242,Somajiguda,Telangana,Hyderabad,"Raj Bhavan Road, Raj Bhavan Quarters Colony, Somajiguda Telangana",17.4233121,78.4589535,Fortum Charge and Drive India Pvt Ltd
243,Begumpet,Telangana,Hyderabad,"Begumpet, Hyderabad, Telangana , India Telangana",17.4448383,78.4669492,Fortum Charge and Drive India Pvt Ltd
244,Goshamahal,Telangana,Hyderabad,"10-C, Malakunta Road, Near Police Stadium, chanChandhanwadi Colony, Goshamahal, Telangana, Cha",17.3777152,78.4711468,Fortum Charge and Drive India Pvt Ltd
245,Kompally,Telangana,Medchal Malkajgiri,"indian oil petrol pump, Ruby block, Kompally Telangana",17.5369181,78.4893698,Fortum Charge and Drive India Pvt Ltd
246,Hafeezpet,Telangana,Ranga Reddy,"Surver No. 98 Miyapur Main Rd, Madinaguda, Hafeezpet, Telangana",17.4948517,78.3364677,Fortum Charge and Drive India Pvt Ltd
247,Vidya Nagar,Telangana,Hyderabad,"1-9-1122/A, OPP DURGA BAI DESHMUKH HOSPITAL, Osmania University Rd, Vidya Nagar, Telangana",17.4021682,78.5091411,Fortum Charge and Drive India Pvt Ltd
248,Madhapur,Telangana,Ranga Reddy,"Siddhivinayak Nagar, KPHB- HitechCity Road, Madhapur,Hyderabad Telengana",17.459252,78.3852186,Fortum Charge and Drive India Pvt Ltd
249,Nagaram,Telangana,Medchal Malkajgiri,"Sai Siva Nagar, SV Nagar, Nagaram, Secunderabad, Telangna",17.4835592,78.5966763,Fortum Charge and Drive India Pvt Ltd
250,Moula Ali,Telangana,Medchal Malkajgiri,"42-720, MJ Colony, Moula Ali, Secunderabad, Telangana",17.4661283,78.5624428,Fortum Charge and Drive India Pvt Ltd
251,Champapet,Telangana,Ranga Reddy,"Champapet Rd, Raji Reddy Nagar, New Santoshnagar, Champapet, Hyderabad, Telangana 500079 Telengana",17.3489405,78.5139763,Fortum Charge and Drive India Pvt Ltd
